rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1109/lcsys.2025.3597334,Force-Dependent Variable Impedance Controller for Contact-Rich Tasks Under Reference Trajectory Uncertainty,2025,IEEE Control Systems Letters,https://doi.org/10.1109/lcsys.2025.3597334,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.3389/frobt.2021.688275,Vision-Guided MPC for Robotic Path Following Using Learned Memory-Augmented Model,2021,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2021.688275,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2504.19341v1,PolyTouch: A Robust Multi-Modal Tactile Sensor for Contact-rich Manipulation Using Tactile-Diffusion Policies,2025,arXiv,http://arxiv.org/abs/2504.19341v1,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.3389/frobt.2024.1320261,Modeling of slip rate-dependent traversability for path planning of wheeled mobile robot in sandy terrain,2024,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2024.1320261,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.48550/arxiv.2509.13949,"SHaRe-RL: Structured, Interactive Reinforcement Learning for Contact-Rich Industrial Assembly Tasks",2025,ArXiv.org,https://doi.org/10.48550/arxiv.2509.13949,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.3389/fnbot.2023.1280773,Vision-force-fused curriculum learning for robotic contact-rich assembly tasks,2023,Frontiers in Neurorobotics,https://doi.org/10.3389/fnbot.2023.1280773,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1177/02783640122067480,Planning Motions Compliant to Complex Contact States,2001,The International Journal of Robotics Research,https://doi.org/10.1177/02783640122067480,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1108/aa-10-2021-0128,Contact-consistent visual object pose estimation for contact-rich robotic manipulation tasks,2022,Assembly Automation,https://doi.org/10.1108/aa-10-2021-0128,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
9,arxiv:2209.10486v2,An Open Tele-Impedance Framework to Generate Data for Contact-Rich Tasks in Robotic Manipulation,2022,arXiv,http://arxiv.org/abs/2209.10486v2,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.3390/s25216741,DPDQN-TER: An Improved Deep Reinforcement Learning Approach for Mobile Robot Path Planning in Dynamic Scenarios,2025,Sensors,https://doi.org/10.3390/s25216741,Addresses contact-rich robot policy learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Policy hysteresis in contact tasks keeps action-critical alternatives explicit until a physical observation collapses them.
