stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6807,0.0085
0.0,conformal_risk_filter,0.6955,0.0115
0.0,proposed_branch_mechanism,0.7562,0.0106
0.0,oracle_branch_upper_bound,0.8081,0.0131
0.2,scalar_uncertainty_planner,0.6240,0.0127
0.2,conformal_risk_filter,0.6474,0.0127
0.2,proposed_branch_mechanism,0.7257,0.0079
0.2,oracle_branch_upper_bound,0.7824,0.0132
0.4,scalar_uncertainty_planner,0.5755,0.0144
0.4,conformal_risk_filter,0.6017,0.0122
0.4,proposed_branch_mechanism,0.6964,0.0128
0.4,oracle_branch_upper_bound,0.7645,0.0113
0.6,scalar_uncertainty_planner,0.5205,0.0132
0.6,conformal_risk_filter,0.5590,0.0132
0.6,proposed_branch_mechanism,0.6688,0.0162
0.6,oracle_branch_upper_bound,0.7460,0.0122
0.8,scalar_uncertainty_planner,0.4695,0.0144
0.8,conformal_risk_filter,0.5171,0.0131
0.8,proposed_branch_mechanism,0.6412,0.0159
0.8,oracle_branch_upper_bound,0.7233,0.0108
1.0,scalar_uncertainty_planner,0.4148,0.0142
1.0,conformal_risk_filter,0.4745,0.0143
1.0,proposed_branch_mechanism,0.6162,0.0151
1.0,oracle_branch_upper_bound,0.7029,0.0134
